Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom   
2008-03,-0.93,0.56,0.3,0.79,0.5,0.17,4.27
2008-04,4.6,-1.2,-0.94,1.64,-2.47,0.18,-0.31
2008-05,1.86,3.02,-1.43,0.93,-0.06,0.18,3.31
2008-06,-8.44,1.18,-2.71,4.96,-0.55,0.17,12.75
2008-07,-0.77,3.72,5.42,-1.37,1.08,0.15,-5.13
2008-08,1.53,3.46,1.59,1.86,0.84,0.13,-4.02
2008-09,-9.24,0.25,5.91,2.41,1.78,0.15,0.28
2008-10,-17.23,-3.34,-2.3,3.04,2.05,0.08,7.85
2008-11,-7.86,-3.89,-6.31,4.53,2.75,0.03,7.17
2008-12,1.74,3.29,0.14,0.06,-1.49,0.0,-5.09
2009-01,-8.12,-2.14,-11.29,0.18,-1.17,0.0,-2.18
2009-02,-10.1,-1.32,-6.95,1.19,-1.02,0.01,4.41
2009-03,8.95,0.67,3.47,-2.52,-2.25,0.02,-11.87
2009-04,10.18,7.13,5.36,1.31,0.13,0.01,-34.3
2009-05,5.21,-2.32,0.28,-0.78,-2.17,0.0,-12.49
2009-06,0.43,2.29,-2.73,-1.41,-0.33,0.01,5.48
2009-07,7.72,2.39,4.83,-0.46,3.14,0.01,-5.55
2009-08,3.33,-0.09,7.63,-3.02,3.34,0.01,-9.07
2009-09,4.08,2.73,1.05,1.31,0.36,0.01,-4.79
2009-10,-2.59,-4.93,-4.21,4.17,-1.51,0.0,2.61
2009-11,5.56,-2.68,-0.34,1.0,0.12,0.0,0.3
2009-12,2.75,6.24,-0.17,1.02,-0.09,0.01,3.01
2010-01,-3.36,0.34,0.43,-1.27,0.46,0.0,-5.4
2010-02,3.4,1.51,3.23,-0.27,1.43,0.0,3.74
2010-03,6.31,1.85,2.21,-0.65,1.69,0.01,3.76
2010-04,2.0,4.98,2.89,0.69,1.72,0.01,3.16
2010-05,-7.89,0.04,-2.44,1.3,-0.21,0.01,-0.25
2010-06,-5.57,-2.47,-4.7,-0.16,-1.55,0.01,-2.76
2010-07,6.93,0.12,-0.31,0.24,2.01,0.01,1.88
2010-08,-4.77,-3.15,-1.9,0.53,-1.59,0.01,-0.06
2010-09,9.54,3.75,-3.16,-0.21,0.38,0.01,1.41
2010-10,3.88,0.8,-2.43,1.19,-0.26,0.01,1.58
2010-11,0.6,3.67,-0.96,0.45,1.59,0.01,2.66
2010-12,6.82,1.03,3.7,-3.44,3.16,0.01,-3.03
2011-01,1.99,-2.43,0.83,-0.76,0.83,0.01,-0.29
2011-02,3.49,1.65,1.27,-1.94,0.88,0.01,1.99
